0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:48 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:50 +0530] "POST /Project03/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:50 +0530] "GET /Project03/ctl/CollegeListCtl HTTP/1.1" 200 23125
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:50 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:53 +0530] "POST /Project03/ctl/CollegeListCtl HTTP/1.1" 200 21354
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:53 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:54 +0530] "POST /Project03/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:54 +0530] "GET /Project03/ctl/CollegeListCtl HTTP/1.1" 200 23125
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:54 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:57 +0530] "GET /Project03/ctl/RoleListCtl HTTP/1.1" 200 19644
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:58 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:01 +0530] "POST /Project03/ctl/RoleListCtl HTTP/1.1" 200 17011
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:01 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:02 +0530] "POST /Project03/ctl/RoleListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:02 +0530] "GET /Project03/ctl/RoleListCtl HTTP/1.1" 200 19644
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:02 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:06 +0530] "GET /Project03/ctl/MarksheetListCtl HTTP/1.1" 200 26103
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:06 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:09 +0530] "POST /Project03/ctl/MarksheetListCtl HTTP/1.1" 200 18110
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:09 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:11 +0530] "POST /Project03/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:11 +0530] "GET /Project03/ctl/MarksheetListCtl HTTP/1.1" 200 26103
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:11 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:14 +0530] "POST /Project03/ctl/MarksheetListCtl HTTP/1.1" 200 19060
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:14 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:17 +0530] "POST /Project03/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:17 +0530] "GET /Project03/ctl/MarksheetListCtl HTTP/1.1" 200 26103
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:17 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:20 +0530] "GET /Project03/ctl/UserListCtl HTTP/1.1" 200 25678
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:20 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:24 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 200 17932
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:24 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
